time,open,high,low,close,Volume
1673110800,16922.5,16934,16920.5,16931,1742.075
1673114400,16931,16940.5,16930.5,16938.5,2435.184
1673118000,16938.5,16944,16937,16944,3165.458
1673121600,16944,16952.5,16940.5,16945,3577.733
1673125200,16945,16946,16937,16937.5,2455.402
1673128800,16937.5,16939,16930.5,16938.5,1695.131
1673132400,16938.5,16946.5,16933,16943.5,1420.105
1673136000,16943.5,16953.5,16914,16925,3026.925
1673139600,16925,16935,16918,16930,3615.876
1673143200,16930,16932,16924,16931.5,2835.255
1673146800,16931.5,16943,16929.5,16942.5,2877.512
1673150400,16942.5,16944,16938,16939,2207.782
1673154000,16939,16943.5,16938,16943.5,1836.752
1673157600,16943.5,16950.5,16935,16949.5,2109.446
1673161200,16949.5,16951,16944,16948.5,2461.079
1673164800,16948.5,16953,16940,16945,3696.618
1673168400,16945,16966.5,16929,16933.5,5795.346
1673172000,16933.5,16936.5,16933,16936.5,4170.211
1673175600,16936.5,16940.5,16927,16927.5,4715.675
1673179200,16927.5,16931,16924,16924.5,3875.636
1673182800,16924.5,16938,16922.5,16934.5,3708.98
1673186400,16934.5,16953,16934,16950.5,4192.59
1673190000,16950.5,17015,16937.5,16995.5,8043.634
1673193600,16995.5,17018.5,16920.5,16938,9977.066
1673197200,16938,16949.5,16924,16928,5885.509
1673200800,16928,16933,16923.5,16928.5,3650.875
1673204400,16928.5,16938,16924.5,16931.5,2581.512
1673208000,16931.5,16980,16928,16967.5,4637.122
1673211600,16967.5,16988,16945,16955,4326.939
1673215200,16955,16973.5,16953.5,16962,3346.859
1673218800,16962,17188,16961,17127.5,28480.957
1673222400,17127.5,17196.5,17105.5,17182.5,20341.253
1673226000,17182.5,17227,17145.5,17171.5,15431.422
1673229600,17171.5,17246.5,17159.5,17186,12193.146
1673233200,17186,17210.5,17176.5,17195.5,4272.842
1673236800,17195.5,17240,17193.5,17220.5,6049.174
1673240400,17220.5,17253.5,17202.5,17203.5,6957.513
1673244000,17203.5,17213.5,17179.5,17188,5586.107
1673247600,17188,17210.5,17183.5,17197.5,4080.065
1673251200,17197.5,17232,17185.5,17190.5,4326.385
1673254800,17190.5,17264,17190,17233,8645.641
1673258400,17233,17276.5,17232.5,17257.5,8322.245
1673262000,17257.5,17270,17234,17235.5,4944.526
1673265600,17235.5,17250.5,17233,17248,4477.994
1673269200,17248,17292,17192.5,17225.5,9375.453
1673272800,17225.5,17270.5,17206.5,17259.5,5295.059
1673276400,17259.5,17328.5,17227,17267.5,15911.992
1673280000,17267.5,17350,17265.5,17322,13057.025
1673283600,17322,17367,17313.5,17353.5,7189.383
1673287200,17353.5,17392.5,17325,17347.5,8865.531
1673290800,17347.5,17347.5,17292.5,17295,5320.2
1673294400,17295,17307.5,17181.5,17218.5,15826.698
1673298000,17218.5,17242.5,17163.5,17178,13469.851
1673301600,17178,17223.5,17168,17202,4864.933
1673305200,17202,17202.5,17128,17177.5,6235.121
1673308800,17177.5,17218.5,17177.5,17217.5,5714.486
1673312400,17217.5,17234.5,17189,17193.5,4768.198
1673316000,17193.5,17212.5,17150,17179,5240.923
1673319600,17179,17204.5,17173,17204,4770.469
1673323200,17204,17219,17195,17219,3605.033
1673326800,17219,17233,17208,17227.5,4434.648
1673330400,17227.5,17230,17187,17202,5133.772
1673334000,17202,17205.5,17192,17199.5,2578.593
1673337600,17199.5,17263.5,17189.5,17253.5,7866.457
1673341200,17253.5,17275.5,17241.5,17245,7535.914
1673344800,17245,17273,17235,17269,4768.694
1673348400,17269,17280,17248.5,17249.5,4138.868
1673352000,17249.5,17250.5,17219,17222,6060.558
1673355600,17222,17252.5,17212,17246,7239.745
1673359200,17246,17324.5,17219.5,17284,16133.618
1673362800,17284,17370,17270,17322.5,14832.108
1673366400,17322.5,17337.5,17282,17300.5,5794.604
1673370000,17300.5,17334,17287.5,17322,3616.18
1673373600,17322,17439.5,17321.5,17429,13506.628
1673377200,17429,17450,17396,17426,6542.084
1673380800,17426,17487.5,17402.5,17472.5,7967.962
1673384400,17472.5,17489,17447.5,17462,5425.748
1673388000,17462,17462,17418.5,17428,4608.72
1673391600,17428,17440,17402,17435,3429.02
1673395200,17435,17490.5,17426,17459,6634.88
1673398800,17459,17501.5,17437,17453.5,6999.803
1673402400,17453.5,17455.5,17383.5,17389,4955.501
1673406000,17389,17422.5,17366.5,17414,5514.046
1673409600,17414,17420.5,17391.5,17408,3993.907
1673413200,17408,17432,17399,17405,5041.285
1673416800,17405,17436.5,17390,17431,4747.023
1673420400,17431,17456.5,17426.5,17443.5,4545.676
1673424000,17443.5,17446,17410,17444.5,3530.38
1673427600,17444.5,17468,17437.5,17442,3936.066
1673431200,17442,17455.5,17435,17437,2992.384
1673434800,17437,17451,17428,17433.5,3887.818
1673438400,17433.5,17433.5,17403,17416.5,4872.474
1673442000,17416.5,17431.5,17386,17414.5,5366.569
1673445600,17414.5,17435,17379,17411.5,6392.471
1673449200,17411.5,17435,17319,17334.5,10670.7
1673452800,17334.5,17365,17330,17348,6011.847
1673456400,17348,17390,17347,17378.5,5634.491
1673460000,17378.5,17555,17378.5,17482,18538.394
1673463600,17482,17549,17467,17545,8167.8
1673467200,17545,17575.5,17506.5,17547.5,6474.442
1673470800,17547.5,17565.5,17527,17553.5,4207.184
1673474400,17553.5,17587.5,17514,17555.5,8813.398
1673478000,17555.5,18005,17548.5,17941,38997.644
1673481600,17941,18306,17907.5,18261.5,29260.813
1673485200,18261.5,18291.5,18143.5,18220.5,16292.665
1673488800,18220.5,18383,18179.5,18203.5,12280.481
1673492400,18203.5,18238,18198.5,18224.5,4850.216
1673496000,18224.5,18228.5,18200,18213,4162.76
1673499600,18213,18235,18078,18086.5,8605.358
1673503200,18086.5,18158.5,18084.5,18142.5,5644.087
1673506800,18142.5,18170,18114.5,18136.5,4885.611
1673510400,18136.5,18146.5,18070,18146.5,6849.595
1673514000,18146.5,18166,18126.5,18162.5,4585.123
1673517600,18162.5,18208.5,18139.5,18184,5381.641
1673521200,18184,18220,18162.5,18199.5,3312.537
1673524800,18199.5,18276.5,18170,18269.5,8766.163
1673528400,18269.5,18350,17960,18282,43282.041
1673532000,18282,18354.5,17928,17997.5,26730.719
1673535600,17997.5,18140.5,17988.5,18083.5,9897.225
1673539200,18083.5,18140.5,18053.5,18133,4679.215
1673542800,18133,18895,18105.5,18841.5,42716.881
1673546400,18841.5,18996,18616,18793.5,35383.01
1673550000,18793.5,19036,18760,18883,14223.748
1673553600,18883,19085.5,18819.5,19049,9270.384
1673557200,19049,19110,18763,18827,13400.958
1673560800,18827,18926,18782.5,18908,6228.324
1673564400,18908,18910,18841,18843,4217.65
1673568000,18843,18883,18717,18777,8770.616
1673571600,18777,18815.5,18749.5,18809.5,5214.026
1673575200,18809.5,18837,18782.5,18835,3357.662
1673578800,18835,18877.5,18819.5,18874,3627.273
1673582400,18874,18875.5,18817.5,18819,3697.902
1673586000,18819,18833.5,18781,18786.5,5143.232
1673589600,18786.5,18858.5,18782.5,18849,4303.118
1673593200,18849,18851,18785,18823.5,3896.222
1673596800,18823.5,18854.5,18811,18836.5,4028.798
1673600400,18836.5,18929,18836.5,18904,7614.334
1673604000,18904,19052.5,18860,19041,15223.856
1673607600,19041,19041.5,18891,18920.5,7866.928
1673611200,18920.5,18934.5,18813,18863,6508.659
1673614800,18863,18899,18816,18855,5776.857
1673618400,18855,19150,18834.5,18995,16105.416
1673622000,18995,19302,18988.5,19256.5,30217.074
1673625600,19256.5,19261.5,19060,19133,11707.639
1673629200,19133,19394.5,19104.5,19256,18050.717
1673632800,19256,19384.5,19255.5,19293,9538.729
1673636400,19293,19366,19247,19357.5,6764.441
1673640000,19357.5,19490,19316,19469,13681.545
1673643600,19469,19904.5,19374,19812.5,29701.27
1673647200,19812.5,20004,19787.5,19850,18769.078
1673650800,19850,19936,19731,19924.5,8465.61
1673654400,19924.5,21532,19887.5,20911.5,80445.564
1673658000,20911.5,21114,20715,20937.5,21754.338
1673661600,20937.5,21063,20852.5,20958.5,14175.86
1673665200,20958.5,21009.5,20805.5,20995.5,9806.648
1673668800,20995.5,21063.5,20906.5,20924.5,8176.229
1673672400,20924.5,20942,20813,20874,8976.837
1673676000,20874,21003,20874,20985.5,5949.659
1673679600,20985.5,20994.5,20867,20927.5,6529.959
1673683200,20927.5,21043.5,20900.5,21016.5,6906.474
1673686800,21016.5,21024,20327,20547,35006.097
1673690400,20547,20547,20257,20517,18645.802
1673694000,20517,20766.5,20494,20738.5,16377.409
1673697600,20738.5,20982,20591,20917,14557.941
1673701200,20917,20998.5,20795,20949,10545.279
1673704800,20949,21236,20573,20838.5,24584.813
1673708400,20838.5,20903.5,20630.5,20797.5,11094.228
1673712000,20797.5,20880.5,20761,20827.5,6370.831
1673715600,20827.5,20936,20741,20771,7821.786
1673719200,20771,20816,20675.5,20772.5,6777.625
1673722800,20772.5,20881,20737.5,20805,5565.872
1673726400,20805,20915,20782.5,20897,4522.119
1673730000,20897,20963,20851.5,20917,5177.016
1673733600,20917,21050.5,20881,21005.5,5497.837
1673737200,21005.5,21086,20950,20964,5750.819
1673740800,20964,21008.5,20640,20776,12324.937
1673744400,20776,20800,20662.5,20791.5,6535.47
1673748000,20791.5,20830.5,20685,20691,5476.091
1673751600,20691,20757.5,20580,20736,7404.938
1673755200,20736,20771.5,20696.5,20713.5,4600.67
1673758800,20713.5,20793.5,20687,20759,4936.76
1673762400,20759,20799,20710,20734.5,4271.675
1673766000,20734.5,20755,20680.5,20750.5,5212.885
1673769600,20750.5,20767,20608,20630.5,10176.21
1673773200,20630.5,20770,20590,20768.5,9116.621
1673776800,20768.5,20775,20707.5,20747.5,6067.992
1673780400,20747.5,20753.5,20682,20740,7259.138
1673784000,20740,20756.5,20666.5,20710,7718.4
1673787600,20710,20866.5,20705,20722.5,13743.823
1673791200,20722.5,20834,20702,20807,9051.543
1673794800,20807,21007,20795,20926,15883.847
1673798400,20926,20976.5,20870,20880.5,6820.35
1673802000,20880.5,21069,20880.5,20929,11506.122
1673805600,20929,20929.5,20674.5,20826.5,16049.531
