トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
199,ロングエントリー,2023-06-19 22:00,Long,26524.5,1,26524.5,284,1.07,650.5,2.45,-219.5,-0.83,10706,1.07
200,ショート決済,2023-06-21 02:00,Long,27373.5,1,26808.5,-565,-2.11,158,0.59,-579.5,-2.16,10141,1.01
200,ショートエントリー,2023-06-20 23:00,Short,26808.5,1,26808.5,-565,-2.11,158,0.59,-579.5,-2.16,10141,1.01
201,ロング決済,2023-06-21 22:00,Short,28888.5,1,27373.5,1515,5.53,1848.5,6.75,-41,-0.15,11656,1.17
201,ロングエントリー,2023-06-21 02:00,Long,27373.5,1,27373.5,1515,5.53,1848.5,6.75,-41,-0.15,11656,1.17
202,ショート決済,2023-06-24 00:00,Long,30277.5,1,28888.5,-1389,-4.81,17,0.06,-1931.5,-6.69,10267,1.03
202,ショートエントリー,2023-06-21 22:00,Short,28888.5,1,28888.5,-1389,-4.81,17,0.06,-1931.5,-6.69,10267,1.03
203,ロング決済,2023-06-24 22:00,Short,30698,1,30277.5,420.5,1.39,1191.5,3.94,-31.5,-0.10,10687.5,1.07
203,ロングエントリー,2023-06-24 00:00,Long,30277.5,1,30277.5,420.5,1.39,1191.5,3.94,-31.5,-0.10,10687.5,1.07
204,ショート決済,2023-06-25 07:00,Long,30515.5,1,30698,182.5,0.59,438,1.43,-26,-0.08,10870,1.09
204,ショートエントリー,2023-06-24 22:00,Short,30698,1,30698,182.5,0.59,438,1.43,-26,-0.08,10870,1.09
205,ロング決済,2023-06-26 06:00,Short,30375.5,1,30515.5,-140,-0.46,534.5,1.75,-236.5,-0.78,10730,1.07
205,ロングエントリー,2023-06-25 07:00,Long,30515.5,1,30515.5,-140,-0.46,534.5,1.75,-236.5,-0.78,10730,1.07
206,ショート決済,2023-06-26 18:00,Long,30404.5,1,30375.5,-29,-0.10,410.5,1.35,-211,-0.69,10701,1.07
206,ショートエントリー,2023-06-26 06:00,Short,30375.5,1,30375.5,-29,-0.10,410.5,1.35,-211,-0.69,10701,1.07
207,ロング決済,2023-06-28 11:00,Short,30502.5,1,30404.5,98,0.32,602,1.98,-478.5,-1.57,10799,1.08
207,ロングエントリー,2023-06-26 18:00,Long,30404.5,1,30404.5,98,0.32,602,1.98,-478.5,-1.57,10799,1.08
208,ショート決済,2023-06-29 14:00,Long,30201,1,30502.5,301.5,0.99,670.5,2.20,-43,-0.14,11100.5,1.11
